node_id,longitude,latitude
456033145,77.578004,12.9980923
456033147,77.5779989,12.9975941
456033150,77.5779788,12.9969662
456033151,77.5783466,12.9984301
456033154,77.5776897,12.997856
456033174,77.5769052,12.9989804
456033177,77.5768099,12.9980815
456033178,77.5763806,12.9994316
456033181,77.5763734,13.0000986
456033184,77.5783472,12.9985615
456033187,77.5770067,12.9994357
456033189,77.5769991,13.0001069
456033192,77.5766952,13.0001028
456033193,77.5767252,12.9994262
456033195,77.5775977,13.000144
456033198,77.5773305,13.0001113
456033202,77.5773413,12.9994807
456033209,77.5776512,12.9994816
456033211,77.5776376,12.9997443
456033215,77.5795579,12.9997078
456033217,77.5781505,12.9997553
456034395,77.5740914,12.99573
456034396,77.57801,12.9978394
456034398,77.5783027,12.9978303
456034399,77.5783206,12.9980703
456036136,77.5734449,12.9909785
456036138,77.5736392,12.9922262
456036139,77.5736446,12.9925428
456036140,77.5728457,12.9924079
456036141,77.572848,12.9920393
456036142,77.5736413,12.9918833
456036143,77.5736662,12.9908011
456036144,77.5739191,12.9915848
456036146,77.5744704,12.9913778
456036147,77.5733524,12.9905113
456036149,77.5737753,12.9903693
456036150,77.5735425,12.9904516
456036151,77.5771133,12.990438
456036152,77.5746046,12.9905183
456036157,77.5757962,12.9901526
456036158,77.5759952,12.9907805
456036159,77.5790051,12.9902156
456036161,77.5781091,12.9906268
456036162,77.5761351,12.9912467
456036163,77.5772478,12.9908978
456036164,77.5747228,12.9908496
456036165,77.5758987,12.9904717
456036166,77.5766227,12.990239
456036167,77.5767233,12.9905574
456036169,77.5744726,12.9901466
456036177,77.5761014,12.9900602
456036182,77.5762667,12.9916858
456036183,77.5782427,12.9910811
456036184,77.5783545,12.9914922
456036759,77.574711,12.9943985
456036760,77.5741164,12.9930255
456036763,77.5743344,12.9926666
456036765,77.5750768,12.9941043
456036766,77.5744752,12.9925634
456036768,77.5752527,12.9940511
456036769,77.5746353,12.9924556
456036774,77.5756907,12.9941746
456036777,77.5763119,12.9928539
456036778,77.5753738,12.9930722
456036780,77.5765724,12.9931309
456036781,77.5758008,12.9929686
456036782,77.5758498,12.9932789
456036784,77.5759821,12.9936395
456036786,77.576255,12.9948188
456036787,77.5763237,12.9951445
456036788,77.5768354,12.9934075
456036789,77.5765816,12.9934734
456036790,77.5767768,12.9943171
456036791,77.5763025,12.993553
456036792,77.5764811,12.9945641
456036793,77.5773228,12.9949248
456036794,77.5773768,12.9951914
456036795,77.5751795,12.9954261
456036796,77.5762347,12.995339
456036797,77.5758635,12.996057
456036798,77.5751335,12.9959131
456036801,77.5748401,12.9966528
456036802,77.575495,12.9967724
456036803,77.5747603,12.9971075
456036804,77.57527,12.9971991
456036808,77.5748981,12.9979526
456036809,77.5771113,12.9976092
456036812,77.5771242,12.9957841
456036813,77.5775712,12.9964208
456036814,77.5775478,12.995721
456036815,77.5776397,12.9966538
456036816,77.5770675,12.9966864
456036817,77.5770712,12.996412
456036818,77.5774822,12.9966628
456036819,77.5774728,12.9976092
456036820,77.5772302,12.9976092
456036821,77.5772485,12.9966761
456036822,77.5761844,12.9975964
456036823,77.5762748,12.9989721
456036824,77.5757805,12.9975871
456036825,77.5757661,12.9981707
456036826,77.5762095,12.9982267
456036827,77.5757567,12.9985541
456036829,77.5762345,12.9985123
456036831,77.5778957,12.9943349
456036833,77.5780919,12.9944956
456036835,77.5765178,12.9954272
456036837,77.5764651,12.9956244
456036838,77.5760976,12.9956097
456086060,77.5683565,12.9933708
456086061,77.5642427,12.9990481
456086064,77.5649549,12.9981262
456086068,77.5651947,12.9962402
456086071,77.5646473,12.9935679
456086082,77.566339,12.9956987
456086084,77.5655071,12.9956088
456086086,77.5650846,12.9956025
456086088,77.5645113,12.9957026
456086090,77.5638258,12.9958434
456086091,77.5612767,12.9964254
456086093,77.5613629,12.9967395
456086095,77.5611342,12.9959373
456086102,77.5650203,12.9952092
456086110,77.5637836,12.9956224
456086112,77.5644614,12.9954729
456086114,77.5650559,12.9954024
456086128,77.5630308,12.995172
456086143,77.5630854,12.9957936
456086145,77.5631127,12.9960236
456086184,77.5636075,12.9947354
456086189,77.5629945,12.9948398
456086191,77.5629768,12.9945186
