source,target,distance_meters,travel_time_seconds
427593126,427593291,81.48186346505038,14.666735423709067
427593126,427593109,39.93784505344532,7.188812109620158
427593127,427593126,41.97338988777082,7.555210179798748
427593127,427593107,35.185335454837656,6.333360381870778
427593127,427593290,81.2588527000938,6.207707642175392
427593128,427593125,40.11322515342344,7.22038052761622
427593128,427593115,35.42499841373186,6.376499714471735
427593128,427593396,95.398723559879,7.2879122165572365
427593129,427593115,41.92913796636484,7.547244833945671
427593129,427593116,39.47623901258206,7.105723022264772
427593129,427593295,95.89837723118794,17.26170790161383
427593130,427593107,44.69665889448583,8.045398601007449
427593130,427593110,38.66894656667425,6.960410382001365
427593130,427593289,81.00721908897356,6.188484285717918
427593131,427593116,38.57571386655811,6.943628495980459
427593131,427593117,36.67225179734585,6.601005323522253
427593131,427593296,96.07992136635106,7.33995179979719
427593132,427593110,39.14451112506294,7.046012002511329
427593132,427593108,36.84690120067848,6.632442216122127
427593132,599150773,83.44628566635791,6.374814903602533
427593133,427593164,42.28387399035232,7.611097318263417
427593133,11898860861,80.36212162948956,5.786072757323249
427593134,9190087432,24.7354159225279,1.970077374360629
427593134,427593280,146.5592039509577,26.380656711172385
427593135,427593283,39.322094307907435,7.077976975423338
427593135,427593280,39.856522814078836,7.17417410653419
427593135,427593136,145.5743737250277,26.203387270504987
427593136,427593134,36.79587966045136,2.9306452826908167
427593136,427593135,145.5743737250277,26.203387270504987
427593137,427593138,147.32690142544124,26.518842256579422
427593137,12553312314,34.886540510942645,2.7785740229954317
427593138,427593280,39.623103492877384,7.132158628717929
427593138,427593082,35.75169768243405,6.435305582838128
427593138,427593137,147.32690142544124,26.518842256579422
427593141,10572417842,34.142325718761796,2.7193002784854525
427593141,427593305,44.99561797849486,3.5837217858978208
427593141,2631196069,103.63465151016223,7.917089606817387
427593141,427593263,109.65349813971723,8.376894772382162
427593142,574254937,29.5890458241219,5.326028248341942
427593142,2631196069,109.6966764724995,8.380193347952483
427593142,529481127,47.24722472337624,8.504500450207722
427593143,10850753028,10.36742447988081,0.7464545625514184
